<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
GDAX.BTC-USD,1,20141201,083400,300.0000000,300.0000000,300.0000000,300.0000000,0
GDAX.BTC-USD,1,20141201,084100,300.0000000,300.0000000,300.0000000,300.0000000,0
GDAX.BTC-USD,1,20141201,092500,370.0000000,370.0000000,370.0000000,370.0000000,0
GDAX.BTC-USD,1,20141201,095100,370.0000000,370.0000000,370.0000000,370.0000000,0
GDAX.BTC-USD,1,20141202,083000,377.0000000,377.0000000,377.0000000,377.0000000,0
GDAX.BTC-USD,1,20141202,140000,377.7500000,378.0000000,377.7500000,378.0000000,4
GDAX.BTC-USD,1,20141202,140500,378.0000000,378.0000000,378.0000000,378.0000000,5
GDAX.BTC-USD,1,20141202,140600,378.0000000,378.0000000,378.0000000,378.0000000,5
GDAX.BTC-USD,1,20141202,214400,378.0000000,378.0000000,378.0000000,378.0000000,0
GDAX.BTC-USD,1,20141202,215900,378.0000000,378.0000000,378.0000000,378.0000000,1
GDAX.BTC-USD,1,20141202,230300,378.0000000,378.0000000,378.0000000,378.0000000,0
GDAX.BTC-USD,1,20141203,083600,377.9000000,377.9000000,377.9000000,377.9000000,0
GDAX.BTC-USD,1,20141203,085200,378.0000000,378.0000000,378.0000000,378.0000000,0
GDAX.BTC-USD,1,20141203,090900,378.0000000,378.0000000,378.0000000,378.0000000,0
GDAX.BTC-USD,1,20141203,213300,378.0000000,378.0000000,378.0000000,378.0000000,0
GDAX.BTC-USD,1,20141203,230700,377.0100000,377.0100000,377.0100000,377.0100000,0
GDAX.BTC-USD,1,20141204,015600,378.0000000,378.0000000,378.0000000,378.0000000,0
GDAX.BTC-USD,1,20141204,044900,377.1000000,377.1000000,377.1000000,377.1000000,0
GDAX.BTC-USD,1,20141206,044200,378.0000000,378.0000000,378.0000000,378.0000000,0
GDAX.BTC-USD,1,20141209,012700,375.0100000,375.0100000,375.0000000,375.0000000,0
GDAX.BTC-USD,1,20141210,054300,398.0000000,398.0000000,398.0000000,398.0000000,0
GDAX.BTC-USD,1,20141210,054400,360.5000000,360.5000000,360.5000000,360.5000000,0
GDAX.BTC-USD,1,20141212,063100,379.0000000,379.0000000,379.0000000,379.0000000,0
GDAX.BTC-USD,1,20141212,063400,364.9900000,364.9900000,364.9900000,364.9900000,0
GDAX.BTC-USD,1,20141212,064500,360.5000000,360.5000000,360.0000000,360.0000000,1
GDAX.BTC-USD,1,20141212,064700,350.0000000,350.0000000,350.0000000,350.0000000,2
GDAX.BTC-USD,1,20141218,235700,345.0000000,345.0000000,340.0000000,340.0000000,2
